id,status,place_key,latitude,longitude,place_other,title,number,transcriber_raw,transcriber_edited,translator,encoded_raw,encoded_edit,encoded_trans,images,leaf number,date_actual,date-archive,creator,recipient,recipient_place,format,googledoc_foldername
1672_07_14_mm2os,translated,grenoble,45.182234,5.718279,,lett 04 Marie to Ortensia Stella,4,smn,smn,smn,lrm,lrm,lrm,DSCF8221;DSCF8222;DSCF8223,,1672-07-14,1672-07-01,Marie Mancini,Ortensia Stella,,image/jpeg,1672-07-01 IICP1 lett 04_actually 1672-07-14_Marie to OrtensiaStella
1672_08_01_mm2lc,translated,grenoble,45.182235,5.71828,,lett 05 Marie to Lorenzo,5,smn,am; smn,smn,lrm,lrm,lrm,DSCF8469;DSCF8470;DSCF8471,1,1672_08_01,1672-08-01,Marie Mancini,Lorenzo Colonna,,image/jpeg,1672-08-01 IICP1 lett 05 Marie to Lorenzo
1672_09_05_a_mm2os,,milan,45.465516,9.187645,lys,lett 534 Marie to Ortensia Stella,534,smn,wn,,lrm,,,DSCF8200;DSCF8201;DSCF8202,,1672-09-05,1672-09-05,Marie Mancini,Ortensia Stella,,image/jpeg,1672-09-05 IICP1 lett 534 Marie to Ortensia Stella
1672_09_05_b_mm2os,,lys,48.517179,2.631357,,lett Marie to Ortensia Stella,535,smn,wn,,lrm,,,DSCF8209;DSCF8210,,1672-09-05,1672-09-05,Marie Mancini,Ortensia Stella,,image/jpeg,1672-09-05 Marie to Ortensia Stella
1672_09_09_mm2os,,lys,48.51718,2.631358,,lett Marie to Ortensia Stella,N/A,smn,wn,,lrm,,,DSCF8206;DSCF8207,,1672-09-09,1672-09-09,Marie Mancini,Ortensia Stella,,image/jpeg,1672-09-09 Marie to Ortensia Stella
1672_09_20_mm2os,,lys,48.517181,2.631359,,lett Marie to Ortensia Stella,N/A,,wn,,,,,DSCF8204;DSCF8205,,1672-09-20,1672-09-20,Marie Mancini,Ortensia Stella,,image/jpeg,1672-09-20 Marie to Ortensia Stella
1672_09_23_mm2lc,,lys,48.517182,2.63136,,lett 10 Marie to Lorenzo,10,smn,am; smn,smn,lrm,lrm,,DSCF8475;DSCF8476;DSCF8477,1,1672_09_23,1672-09-23,Marie Mancini,Lorenzo Colonna,,image/jpeg,1672-09-02 IICP1 lett 10 Marie to Lorenzo
1672_09_27_mm2lc,,lys,48.517183,2.631361,,lett 12 Marie to Lorenzo,12,smn,am; smn,smn,lrm,lrm,,DSCF8478;DSCF8479;DSCF8480,1,1672-09-27,1672-09-27,Marie Mancini,Lorenzo Colonna,,image/jpeg,1672-09-27 IICP1 lett 12 Marie to Lorenzo
1672_10_02_mm2lc,,lys,48.517184,2.631362,,lett 08 Marie to Lorenzo,8,smn,am; smn,smn,lrm,lrm,,DSCF8472;DSCF8473;DSCF8474,1,1672-10-02,1672-10-02,Marie Mancini,Lorenzo Colonna,,image/jpeg,1672-10-02 IICP1 lett 08 Marie to Lorenzo
1672_10_29_mm2lc,translated,avenay,49.095228,-0.464817,,lett 13 Marie to Lorenzo,13,smn,am; smn,smn,omw,omw,omw,DSCF8485;DSCF8486;DSCF8487,1,1672-10-29,1672-10-29,Marie Mancini,Lorenzo Colonna,,image/jpeg,1672-10-29 IICP1 lett 13 Marie to Lorenzo
1672_10_29_mm2os,,avenay,49.095229,-0.464818,,lett Marie to Ortensia Stella,N/A,smn,,,lrm,,,DSCF8212;DSCF8213,,1672-10-29,1672-10-29,Marie Mancini,Ortensia Stella,,image/jpeg,1672-10-29 Marie to Ortensia Stella
1672_11_18_n2os,,avenay,49.09523,-0.464819,,lett Nanette to Ortensia Stella,N/A,smn,,,lrm,,,DSCF8216;DSCF8217,,1672-11-18,1672-11-18,Nanette,Ortensia Stella,,image/jpeg,1672-11-18 Nanette to Ortensia Stella
1672_11_19_mm2os,,avenay,49.095231,-0.46482,,lett Marie to Ortensia Stella,N/A,,,,,,,DSCF8214;DSCF8215,,1672-11-19,1672-11-19,Marie Mancini,Ortensia Stella,,image/jpeg,1672-11-19 Marie to Ortensia Stella
1672_12_02_mm2lc,translated,avenay,49.095232,-0.464821,,lett 14 Marie to Lorenzo,14,smn,am; smn,smn,lrm,lrm,lrm,DSCF8488;DSCF8489;DSCF8490,1,1672-12-02,1672-12-02,Marie Mancini,Lorenzo Colonna,,image/jpeg,1672-12-02 IICP1 lett 14 Marie to Lorenzo
