key,name,other_names,annotation,notes
altezza-reale,Charles-Emmanuel II,,"Charles-Emmanuel II, Duke of Savoy (1634-1675). He was the sovereign of Savoy, which was an independent state in the seventeenth century; he was a grandson of Henri IV of France. Charles-Emmanuel II was one of Hortense Mancini's early suitors, and she was his guest living in the château of Chambéry from 1672 until his death in 1675. He also offered his hospitality to Marie in his capital city of Turin.",
andrea,Andrea,,A man in Marie's service.,
anna,Anna,,More information coming soon!,
antonia,Antonia,,More information coming soon!,
arnolfini,Arnolfini,,"Arnolfini may be a man related to one of the maids in waiting who had accompanied Marie to Rome from the French court at the time of her marriage in 1661: Claude Dulong cites a list of the fifty-five servants and attendants in her suite, with a Mademoiselle d'Arnolfini as one of the two maids of honor at the head of the list. Dulong, Marie Mancini, 106.",
baldini,Baldini,,More information coming soon!,see 1672_12_10_mm2lc
bologna-maurizio,Don Mauritio,Don Maurizio,"Don Maurizio Bologna had been Marie's Italian secretary in Rome, and he was sent to her in Turin by Lorenzo in late February 1673, more to spy on her than to serve her. Dulong, Marie Mancini, 233-37.",
boniel,Monsieur Boniel,,More information coming soon!,
borgomanero,il marchese di Borgomanero,il marchese di Borgomenero;il marquese di bourgomenero;il marchese di Bourgomené;le marquis de Borgomanero;the Marquis of Borgomanero,"Prince Don Carlo Emanuele d'Este, Marquis of Borgomanero (1622-1695), was, like Lorenzo Onofrio Colonna, an Italian nobleman in the service of Spain. He was a grandee of Spain and a knight of the Order of the Golden Fleece, and he later became the viceroy of Galicia, a conseiller d'état, and the king of Spain's ambassador to England and to the Holy Roman Emperor. Borgomanero also had close family connections to the dukes of Savoy, as his father had been in their service.",
brenier,padre Brenier,,More information coming soon!,
cardinal-portocarrero,il cardinal Portocarrero,,Luis Manuel Fernández de Portocarrero (1635-1709) was created cardinal in 1669 and lived until 1677 in Rome as cardinal protector of the Spanish nation.,
cesar-destrees,il cardinal d'Estrées,,"César d'Estrées (1628-1714) was a French ecclesiastic who also had a number of high-level political roles under Louis XIV. The King made him Bishop of Laon, and duke and peer of France, in 1653. In 1671, Pope Clement X made him a cardinal, attached first to the church of Santa Maria in Via in Rome and later to the French national church in Rome, la Trinità dei Monti, at the top of the Spanish Steps. César d'Estrées was a nephew of Henri IV's famous mistress Gabrielle d'Estrées, and he was thus related by marriage to Marie, whose eldest sister, Laura Mancini, was married to a grandson of Henri IV and Gabrielle d'Estrées, Louis de Bourbon-Vendôme, duc de Mercoeur.",
